"customer_id","recency_days","frequency","monetary"
CUS000156,121,1,28950000.00
CUS000537,160,2,37327000.00
CUS000172,91,8,85371000.00
CUS000242,105,6,59409500.00
CUS000811,93,4,58690500.00
CUS000894,108,7,64253500.00
CUS000558,100,9,122409000.00
CUS000484,196,2,31402500.00
CUS000401,103,4,60978500.00
CUS000236,171,5,51328500.00
CUS000787,87,4,75719000.00
CUS000426,112,5,51274000.00
CUS000311,115,5,57682000.00
CUS000256,121,6,85818000.00
CUS000652,128,5,53526500.00
CUS000478,95,9,82703000.00
CUS000046,123,3,74211000.00
CUS000641,106,6,99390000.00
CUS000075,172,2,40042000.00
CUS000040,174,2,12928000.00
CUS000013,105,5,85871000.00
CUS000137,119,4,42409500.00
CUS000813,87,4,44630000.00
CUS000113,131,5,68382000.00
CUS000548,152,3,39284000.00
CUS000287,90,13,176969500.00
CUS000693,142,6,54812500.00
CUS000900,99,5,49443500.00
CUS000946,87,9,97804500.00
CUS000878,164,7,53673000.00
CUS000855,114,5,41424500.00
CUS000479,88,4,22633500.00
CUS000325,97,10,100766500.00
CUS000764,137,9,112189500.00
CUS000720,88,6,90114000.00
CUS000486,97,8,142680500.00
CUS000164,98,1,19904000.00
CUS000098,95,4,29523500.00
CUS000508,91,5,41595000.00
CUS000056,197,9,120576000.00
CUS000327,96,6,47679500.00
CUS000295,148,6,61110000.00
CUS000801,91,7,99190000.00
CUS000373,153,2,13304000.00
CUS000553,181,1,6849500.00
CUS000495,121,9,138824500.00
CUS000031,128,6,80542000.00
CUS000650,113,3,24340500.00
CUS000598,180,4,38628000.00
CUS000858,94,4,44404000.00
CUS000276,122,11,154124000.00
CUS000962,112,5,69574500.00
CUS000197,116,5,69401500.00
CUS000471,89,2,32985500.00
CUS000190,143,7,65521500.00
CUS000375,202,3,33323500.00
CUS000988,127,8,91300000.00
CUS000037,98,6,75335500.00
CUS000281,97,6,46181000.00
CUS000704,113,8,92478500.00
CUS000088,88,4,37137000.00
CUS000969,137,5,64096000.00
CUS000999,97,9,98348500.00
CUS000965,96,6,51907000.00
CUS000512,105,9,83514000.00
CUS000027,108,7,92066000.00
CUS000077,161,2,27144000.00
CUS000779,141,3,50196000.00
CUS000989,88,5,84725500.00
CUS000918,157,3,9855000.00
CUS000460,117,6,78846000.00
CUS000191,120,3,26613000.00
CUS000354,124,4,56077500.00
CUS000466,152,3,46567500.00
CUS000556,134,3,45535000.00
CUS000967,103,4,52032500.00
CUS000271,90,10,160608500.00
CUS000291,97,4,45858000.00
CUS000587,98,4,61497500.00
CUS000721,144,4,52756000.00
CUS000451,106,10,100145500.00
CUS000186,110,4,46984500.00
CUS000428,119,4,43053000.00
CUS000854,154,6,97266000.00
CUS000378,168,3,14674500.00
CUS000272,160,3,23634500.00
CUS000106,153,6,96961000.00
CUS000487,108,8,86951000.00
CUS000063,191,2,34410000.00
CUS000435,158,2,6378500.00
CUS000178,100,8,114308000.00
CUS000960,163,6,74933500.00
CUS000877,114,6,64160500.00
CUS000987,110,3,29090000.00
CUS000538,117,5,84542000.00
CUS000232,162,3,55010000.00
CUS000449,111,4,25256500.00
CUS000253,99,7,69075000.00
CUS000130,105,4,41328000.00
CUS000208,125,4,27771000.00
CUS000557,89,6,55776000.00
CUS000727,147,5,69743500.00
CUS000467,92,4,37382000.00
CUS000262,87,5,33924000.00
CUS000019,101,3,11843000.00
CUS000492,88,10,130842000.00
CUS000756,129,3,20374500.00
CUS000719,116,2,23473500.00
CUS000833,113,6,91136500.00
CUS000674,95,7,79932500.00
CUS000279,111,2,22244000.00
CUS000246,124,4,33438000.00
CUS000625,201,2,37368500.00
CUS000265,161,3,55888000.00
CUS000285,94,8,80745500.00
CUS000726,133,4,59146500.00
CUS000862,127,5,57450000.00
CUS000091,121,4,57159000.00
CUS000955,113,3,35790000.00
CUS000204,146,3,23710000.00
CUS000400,186,2,18920000.00
CUS000371,220,2,40470000.00
CUS000173,129,1,17758500.00
CUS000843,116,2,43869000.00
CUS000409,109,4,28964500.00
CUS000017,170,4,64359500.00
